performance_id,candidate_id,edition_id,round_id,program_label,performance_status,source_url,notes
68,12,1,2,Quarterfinal Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson,candidate_page_listing_status_by_reached_round
69,12,1,3,Semifinal Round - Recital,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson,candidate_page_listing_status_by_reached_round
70,12,1,4,Semifinal Round - Mozart Concerto,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson,candidate_page_listing_status_by_reached_round
71,12,1,5,Final Round - Concerto 1,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson,candidate_page_listing_status_by_reached_round
72,12,1,6,Final Round - Concerto 2,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson,candidate_page_listing_status_by_reached_round
73,13,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/xiaofu-ju,candidate_page_listing_status_by_reached_round
74,13,1,2,Quarterfinal Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/xiaofu-ju,candidate_page_listing_status_by_reached_round
75,13,1,3,Semifinal Round - Recital,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/xiaofu-ju,candidate_page_listing_status_by_reached_round
76,13,1,4,Semifinal Round - Mozart Concerto,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/xiaofu-ju,candidate_page_listing_status_by_reached_round
77,13,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/xiaofu-ju,candidate_page_listing_status_by_reached_round
78,13,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/xiaofu-ju,candidate_page_listing_status_by_reached_round
79,14,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/mikhail-kambarov,candidate_page_listing_status_by_reached_round
80,14,1,2,Quarterfinal Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/mikhail-kambarov,candidate_page_listing_status_by_reached_round
81,14,1,3,Semifinal Round - Recital,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/mikhail-kambarov,candidate_page_listing_status_by_reached_round
82,14,1,4,Semifinal Round - Mozart Concerto,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/mikhail-kambarov,candidate_page_listing_status_by_reached_round
83,14,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/mikhail-kambarov,candidate_page_listing_status_by_reached_round
84,14,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/mikhail-kambarov,candidate_page_listing_status_by_reached_round
85,15,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/david-khrikuli,candidate_page_listing_status_by_reached_round
